CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,
"7654","BIOL 211L","7","Principles of Biology I Lab","1","","Lab","W","1800-2150","FORBES 1009","DiLillo, B","0","Closed",
"8369","BIOL 211L","8","Principles of Biology I Lab","1","","Lab","M","1800-2150","FORBES 1009","DiLillo, B","0","Closed",
"7655","BIOL 212","1","Principles of Biology II","3","","Lec","TR","0800-0915","FORBES 2015","Burke, R","6","Open",
"7656","BIOL 212","2","Principles of Biology II","3","","Lec","TR","0930-1045","FORBES 2015","Harwell, H","0","Closed",
"7657","BIOL 212","3","Principles of Biology II","3","","Lec","TR","1100-1215","FORBES 2015","Thompson, J","0","Closed",
"7658","BIOL 212L","1","Principles of Biology II Lab","1","","Lab","T","1330-1720","FORBES 1002","Lattanzio, M","0","Closed",
"7659","BIOL 212L","2","Principles of Biology II Lab","1","","Lab","T","1330-1720","FORBES 1027","Agee, J","0","Closed",
"7660","BIOL 212L","3","Principles of Biology II Lab","1","","Lab","W","1000-1350","FORBES 1002","Staff","3","Open",
"7661","BIOL 212L","4","Principles of Biology II Lab","1","","Lab","W","1000-1350","FORBES 1027","Staff","12","Open",
"7662","BIOL 212L","5","Principles of Biology II Lab","1","","Lab","R","1330-1720","FORBES 1002","Lattanzio, M","0","Closed",
"7663","BIOL 212L","6","Principles of Biology II Lab","1","","Lab","R","1330-1720","FORBES 1027","Staff","0","Closed",
"7664","BIOL 213","1A","Principles in Biology III","3","","Lec","MWF","1100-1150","FORBES 2015","Burke, R; Steven, J","0","Closed",
"7665","BIOL 213","2B","Principles in Biology III","3","","Lec","MWF","1100-1150","FORBES 2070E","Steven, J; Burke, R","2","Open",
"7666","BIOL 213L","1A","Principles of Biology III Lab","1","","Lab","W","1300-1650","FORBES 1033","Staff","0","Closed",
"7667","BIOL 213L","2B","Principles of Biology III Lab","1","","Lab","W","1300-1650","FORBES 1039","Deschenes, M","0","Closed",
"7668","BIOL 213L","3A","Principles of Biology III Lab","1","","Lab","R","0900-1250","FORBES 1033","Agee, J","0","Closed",
"7669","BIOL 213L","4B","Principles of Biology III Lab","1","","Lab","R","0900-1250","FORBES 1039","Deschenes, M","5","Open",
"8199","BIOL 302","1","Oceanography-Intro Marine Sci","3","","Lec","TR","0930-1045","FORBES 2090","Brown, G","1","Open",
"8200","BIOL 302L","1","Oceanography-Laboratory","1","","Lab","R","1330-1720","FORBES 1039","Brown, G","18","Open",
"7670","BIOL 308","1","Plant Physiology","4","","Lec","TR","0930-1045","MCM 162","Ruane, L","0","Closed",
"7671","BIOL 308L","1","Plant Physiology Laboratory","0","","Lab","T","1330-1720","FORBES 1033","Ruane, L","0","Closed",
"7672","BIOL 309","1","Embryology of Vertebrates","4","","Lec","MWF","0900-0950","MCM 114","Cheney, R","0","Closed",
"7673","BIOL 309L","1","Embryology of Vertebrates Lab","0","","Lab","M","1300-1650","FORBES 2043","Cheney, R","0","Closed",
"8201","BIOL 309L","2","Embryology of Vertebrates Lab","0","","Lab","T","1330-1720","FORBES 2043","Cheney, R","0","Closed",
"7674","BIOL 313","1","Genetics","3","","Lec","TR","0800-0915","MCM 114","Cheney, R","0","Closed",
"7675","BIOL 315","1","Human Anatomy/Physiology II","3","","Lec","TR","0930-1045","MCM 114","Knight, W","18","Open",
"7676","BIOL 315","2","Human Anatomy/Physiology II","3","","Lec","TR","1100-1215","MCM 114","Knight, W","11","Open",
"7677","BIOL 315L","1","Human Anatmy/Physiology II Lab","1","","Lab","M","1300-1650","FORBES 2056","Knight, W","4","Open",
"7678","BIOL 315L","2","Human Anatmy/Physiology II Lab","1","","Lab","T","1330-1720","FORBES 2056","Knight, W","5","Open",
"7679","BIOL 315L","3","Human Anatmy/Physiology II Lab","1","","Lab","R","1800-2150","FORBES 2056","Knight, W","1","Open",
"8242","BIOL 328","1","Island Biology &amp; Exp. Design","3","","Lec","F","1300-1450","FORBES 1033","Ruane, L","0","Closed",
"7681","BIOL 391","W1","WI: Junior Seminar","1","  WI","Lec","M","1700-1750","FORBES 2090","Burke, R","0","Closed",
"7682","BIOL 391","W2","WI: Junior Seminar","1","  WI","Lec","T","1800-1850","FORBES 2012","Agee, J","0","Closed",
"7683","BIOL 391","W3","WI: Junior Seminar","1","  WI","Lec","W","1700-1750","FORBES 2090","Burke, R","0","Closed",
"7684","BIOL 391","W4","WI: Junior Seminar","1","  WI","Lec","W","1800-1850","FORBES 2090","Agee, J","0","Closed",
"7685","BIOL 391","W5","WI: Junior Seminar","1","  WI","Lec","R","1900-1950","FORBES 2012","Roquemore, J","0","Closed",
"7686","BIOL 391","W6","WI: Junior Seminar","1","  WI","Lec","W","1700-1750","FORBES 3014","Staff","0","Closed",
"7687","BIOL 391","W7","WI: Junior Seminar","1","  WI","Lec","R","1800-1850","FORBES 2012","Roquemore, J","0","Closed",
"7688","BIOL 395","1","SP TPC: Evolutionary Biology","3","","Lec","MWF","1000-1050","FORBES 2074","Thompson, J","0","Closed",
"8204","BIOL 395","3","SP TPC: Exp Design &amp; Analysis","4","","Lec","MWF","1000-1050","FORBES 3014","Steven, J","6","Open",
"8205","BIOL 395L","1","SP TPC:Exp Design/Analysis lab","0","","Lab","R","1330-1720","FORBES 1033","Steven, J","7","Open",
"7690","BIOL 403","1","Marine Biology","3","","Lec","TR","1100-1215","FORBES 2070A","Harwell, H","1","Open",
"7691","BIOL 403L","1","Marine Biology Laboratory","1","","Lab","T","1330-1720","FORBES 1039","Harwell, H","13","Open",
"7692","BIOL 412","1","Fndmntl Molecular Biology","4","","Lec","TR","1100-1215","FORBES 2090","Meighan, C","0","Closed",
"7693","BIOL 412L","1","Fndmntl Molecular Biology Lab","0","","Lab","M","1300-1650","FORBES 1015","Meighan, C","0","Closed",
"7694","BIOL 420","1","Animal Physiology","4","","Lec","MWF","1100-1150","FORBES 2090","Grau, H","0","Closed",
"7696","BIOL 420L","1","Animal Physiology Laboratory","0","","Lab","R","1330-1720","FORBES 2056","Grau, H","0","Closed",
"7697","BIOL 425","1","Ornithology","3","","Lec","MWF","1100-1150","FORBES 3014","Sherwin, R","0","Closed",
"7698","BIOL 425L","1","Ornithology Lab","1","","Lab","W","1300-1650","FORBES 2043","Sherwin, R","14","Open",
"7699","BIOL 430","1","Biogeography","3","","Lec","MWF","0900-0950","FORBES 3014","Sherwin, R","0","Closed",
"7700","BIOL 435","1","Environmental Appl GIS","4","","Lec","T","1800-2050","FORBES 2070D","Whiting, G","0","Closed",
"7701","BIOL 435L","1","Environmental Appl of GIS Lab","0","","Lab","S","0800-1145","FORBES 1039","Whiting, G","0","Closed",
"7702","BIOL 440","1","Herpetology","4","","Lec","MWF","1200-1250","FORBES 2051","Meyer, M","1","Open",
"7703","BIOL 440L","1","Herpetology Laboratory","0","","Lab","F","1300-1650","FORBES 2043","Meyer, M","1","Open",
